show_id,title,type,content_type_category,primary_genre,genre_count,is_multi_genre,primary_country,country_count,production_region,is_international_production,release_year,release_decade,release_decade_label,release_era,date_added,year_added,month_added,quarter_added,content_age_years,content_age_category,freshness_score,duration,duration_value,duration_type,movie_duration_category,tv_season_category,rating,rating_category,target_audience,genre_saturation_level,genre_opportunity_score,market_classification,competition_index,investment_risk_score,investment_risk_level,performance_indicator,investment_priority_score,investment_recommendation,content_strategy,investment_year,director,has_director,cast,has_cast,description,description_length,title_length,listed_in,country
s1,Dick Johnson Is Dead,Movie,Film Content,Documentaries,1,0,United States,1,North America,0,2020,2020,2020s,Modern Era (2020+),2021-09-25,2021.0,9.0,3.0,6,Established (5-10 yrs),94,90 min,90.0,min,Feature (90-120 min),N/A - Movie,PG-13,Teens,Teens & Adults,Saturated (5-10%),2,Dominant Market (500+),4.5,4.5,Very Low Risk,71,3.01,Moderate Investment,Maintain Position,Year 2 - Scale,Kirsten Johnson,1,,0,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable.",152,20,Documentaries,United States
s2,Blood & Water,TV Show,Series Content,International TV Shows,3,1,South Africa,1,Africa,0,2021,2020,2020s,Modern Era (2020+),2021-09-24,2021.0,9.0,3.0,5,Fairly Recent (3-5 yrs),95,2 Seasons,2.0,Season,N/A - TV Show,Short Run (2-3 seasons),TV-MA,Mature,Adults Only,Highly Saturated (10%+),1,Growing Market (50-100),4.0,4.0,Low Risk,84,2.55,Cautious Investment,Maintain Position,Year 3 - Optimize,,0,"Ama Qamata, Khosi Ngema, Gail Mabalane, Thabang Molaba, Dillon Windvogel, Natasha Thahane, Arno Greeff, Xolile Tshabalala, Getmore Sithole, Cindy Mahlangu, Ryle De Morny, Greteli Fincham, Sello Maake Ka-Ncube, Odwa Gwanya, Mekaila Mathys, Sandi Schultz, Duane Williams, Shamilla Miller, Patrick Mofokeng",1,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",147,13,"International TV Shows, TV Dramas, TV Mysteries",South Africa
s3,Ganglands,TV Show,Series Content,Crime TV Shows,3,1,Unknown,0,Unknown,0,2021,2020,2020s,Modern Era (2020+),2021-09-24,2021.0,9.0,3.0,5,Fairly Recent (3-5 yrs),95,1 Season,1.0,Season,N/A - TV Show,Limited Series (1 season),TV-MA,Mature,Adults Only,Saturated (5-10%),2,Unknown,3.5,5.0,Very Low Risk,79,3.24,Moderate Investment,Maintain Position,Year 2 - Scale,Julien Leclercq,1,"Sami Bouajila, Tracy Gotoas, Samuel Jouy, Nabiha Akkari, Sofia Lesaffre, Salim Kechiouche, Noureddine Farihi, Geert Van Rampelberg, Bakary Diombera",1,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",146,9,"Crime TV Shows, International TV Shows, TV Action & Adventure",
s4,Jailbirds New Orleans,TV Show,Series Content,Docuseries,2,1,Unknown,0,Unknown,0,2021,2020,2020s,Modern Era (2020+),2021-09-24,2021.0,9.0,3.0,5,Fairly Recent (3-5 yrs),95,1 Season,1.0,Season,N/A - TV Show,Limited Series (1 season),TV-MA,Mature,Adults Only,Moderate (2-5%),3,Unknown,3.0,5.0,Very Low Risk,65,3.56,Moderate Investment,Maintain Position,Year 2 - Scale,,0,,0,"Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series.",147,21,"Docuseries, Reality TV",
s5,Kota Factory,TV Show,Series Content,International TV Shows,3,1,India,1,Asia,0,2021,2020,2020s,Modern Era (2020+),2021-09-24,2021.0,9.0,3.0,5,Fairly Recent (3-5 yrs),95,2 Seasons,2.0,Season,N/A - TV Show,Short Run (2-3 seasons),TV-MA,Mature,Adults Only,Highly Saturated (10%+),1,Dominant Market (500+),5.0,3.5,Moderate Risk,82,2.4,Cautious Investment,Red Ocean (Compete),Year 3 - Optimize,,0,"Mayur More, Jitendra Kumar, Ranjan Raj, Alam Khan, Ahsaas Channa, Revathi Pillai, Urvi Singh, Arun Kumar",1,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",152,12,"International TV Shows, Romantic TV Shows, TV Comedies",India
s6,Midnight Mass,TV Show,Series Content,TV Dramas,3,1,Unknown,0,Unknown,0,2021,2020,2020s,Modern Era (2020+),2021-09-24,2021.0,9.0,3.0,5,Fairly Recent (3-5 yrs),95,1 Season,1.0,Season,N/A - TV Show,Limited Series (1 season),TV-MA,Mature,Adults Only,Saturated (5-10%),2,Unknown,3.5,5.0,Very Low Risk,71,3.14,Moderate Investment,Maintain Position,Year 2 - Scale,Mike Flanagan,1,"Kate Siegel, Zach Gilford, Hamish Linklater, Henry Thomas, Kristin Lehman, Samantha Sloyan, Igby Rigney, Rahul Kohli, Annarah Cymone, Annabeth Gish, Alex Essoe, Rahul Abburi, Matt Biedel, Michael Trucco, Crystal Balint, Louis Oliver",1,"The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe.",152,13,"TV Dramas, TV Horror, TV Mysteries",
s7,My Little Pony: A New Generation,Movie,Film Content,Children & Family Movies,1,0,Unknown,0,Unknown,0,2021,2020,2020s,Modern Era (2020+),2021-09-24,2021.0,9.0,3.0,5,Fairly Recent (3-5 yrs),95,91 min,91.0,min,Feature (90-120 min),N/A - Movie,PG,Parental Guidance,Family,Saturated (5-10%),2,Unknown,3.5,5.0,Very Low Risk,78,3.23,Moderate Investment,Maintain Position,Year 2 - Scale,"Robert Cullen, José Luis Ucha",1,"Vanessa Hudgens, Kimiko Glenn, James Marsden, Sofia Carson, Liza Koshy, Ken Jeong, Elizabeth Perkins, Jane Krakowski, Michael McKean, Phil LaMarr",1,"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it.",153,32,Children & Family Movies,
s8,Sankofa,Movie,Film Content,Dramas,3,1,United States,6,North America,1,1993,1990,1990s,1990s Golden Era,2021-09-24,2021.0,9.0,3.0,33,Classic (20+ yrs),67,125 min,125.0,min,Long (120-150 min),N/A - Movie,TV-MA,Mature,Adults Only,Highly Saturated (10%+),1,Dominant Market (500+),5.0,3.0,Moderate Risk,75,2.19,Cautious Investment,Red Ocean (Compete),Year 3 - Optimize,Haile Gerima,1,"Kofi Ghanaba, Oyafunmike Ogunlano, Alexandra Duah, Nick Medley, Mutabaruka, Afemo Omilami, Reggie Carter, Mzuri",1,"On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.",151,7,"Dramas, Independent Movies, International Movies","United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia"
s9,The Great British Baking Show,TV Show,Series Content,British TV Shows,2,1,United Kingdom,1,Europe,0,2021,2020,2020s,Modern Era (2020+),2021-09-24,2021.0,9.0,3.0,5,Fairly Recent (3-5 yrs),95,9 Seasons,9.0,Season,N/A - TV Show,Long Running (7+ seasons),TV-14,Teens,Teens & Adults,Moderate (2-5%),3,Dominant Market (500+),4.0,4.5,Very Low Risk,75,3.56,Moderate Investment,Maintain Position,Year 2 - Scale,Andy Devonshire,1,"Mel Giedroyc, Sue Perkins, Mary Berry, Paul Hollywood",1,"A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best.",144,29,"British TV Shows, Reality TV",United Kingdom
s10,The Starling,Movie,Film Content,Comedies,2,1,United States,1,North America,0,2021,2020,2020s,Modern Era (2020+),2021-09-24,2021.0,9.0,3.0,5,Fairly Recent (3-5 yrs),95,104 min,104.0,min,Feature (90-120 min),N/A - Movie,PG-13,Teens,Teens & Adults,Highly Saturated (10%+),1,Dominant Market (500+),5.0,3.5,Moderate Risk,78,2.35,Cautious Investment,Red Ocean (Compete),Year 3 - Optimize,Theodore Melfi,1,"Melissa McCarthy, Chris O'Dowd, Kevin Kline, Timothy Olyphant, Daveed Diggs, Skyler Gisondo, Laura Harrier, Rosalind Chao, Kimberly Quinn, Loretta Devine, Ravi Kapoor",1,A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.,151,12,"Comedies, Dramas",United States
